J2000Q0,J2000Q1,J2000Q2,J2000Q3,ET
0.80707376870932,0.57227279206908,0.11548349805072,0.088313900359834,-896556652.52853
0.80058364009144,0.5813242837048,0.11455356704857,0.089472859960402,-896556652.50666
0.79399288171386,0.59030258176601,0.1136061511615,0.09061902761767,-896556652.48478
0.78730233204598,0.59920653774959,0.11264132126877,0.09175236136436,-896556652.46291
0.78051284164608,0.60803501233073,0.11165915393782,0.092872822437055,-896556652.44104
0.77362527304718,0.61678687552415,0.11065973146604,0.093980375162593,-896556652.41917
0.76664050064209,0.62546100684421,0.10964314191772,0.095074986842386,-896556652.3973
0.75955941056752,0.63405629546407,0.10860947915622,0.096156627634855,-896556652.37543
0.75238290058724,0.64257164037385,0.10755884287132,0.097225270436105,-896556652.35356
0.74511187997448,0.65100595053759,0.10649133860156,0.098280890759007,-896556652.33169
0.73774726939342,0.65935814504926,0.10540707775178,0.099323466610833,-896556652.30982
0.73029000077985,0.6676271532874,0.10430617760552,0.10035297836964,-896556652.28795
0.72274101722112,0.67581191506873,0.10318876133253,0.10136940865949,-896556652.26607
0.71510127283517,0.68391138080042,0.10205495799116,0.10237274222472,-896556652.2442
0.70737173264886,0.6919245116311,0.1009049025257,0.10336296580344,-896556652.22233
0.69955337247558,0.69985027960056,0.099738735758669,0.10434006800037,-896556652.20046
0.69164717879204,0.70768766778803,0.098556604377968,0.10530403915921,-896556652.17859
0.6836541486144,0.71543567045912,0.09735866091899,0.10625487123464,-896556652.15672
0.67557528937368,0.72309329321131,0.096145063741616,0.1071925576643,-896556652.13485
0.66741161879046,0.73065955311789,0.094915977002069,0.10811709324065,-896556652.11298
0.65916416474894,0.73813347887044,0.09367157061984,0.10902847398306,-896556652.09111
0.65083396517026,0.74551411091974,0.092412020239405,0.10992669701026,-896556652.06923
0.64242206788528,0.75280050161504,0.091137507187011,0.11081176041323,-896556652.04736
